,title,published_date,views,likes,comments,month
0,"""CONOR McGREGOR es un B0RRACH0, no va a pelear por el TÍTULO"" Islam Makhachev",2022-03-11,73993,4555,538,Mar
1,El CUELLO de CONOR McGREGOR,2022-03-10,115793,6929,242,Mar
2,KHAMZAT CHIMAEV vs GILBERT BURNS OFICIAL!!!,2022-03-10,118305,7346,942,Mar
3,Esto es un DEPORTE???,2022-03-09,72404,2446,306,Mar
4,MAKHACHEV le pide 1 MILLÓN al TACAÑO DANA???,2022-03-09,97147,4871,457,Mar
5,Y si CONOR McGREGOR hubiera noqueado a FLOYD???,2022-03-08,89833,5573,448,Mar
6,Conor McGregor entre el TÍTULO y MAKHACHEV!,2022-03-08,116429,6021,734,Mar
7,Bryce Mitchell HUMILLA a Edson Barboza!!!,2022-03-07,74455,4427,348,Mar
8,Jorge Masvidal hace un NATE DIAZ ante Colby Covington!!!,2022-03-06,237765,9695,1207,Mar
9,Colby ganó FÁCIL a Masvidal!,2022-03-06,100314,4997,538,Mar
10,MASVIDAL se tatúa a MARADONA!,2022-03-05,118423,5624,378,Mar
11,MASVIDAL se hace otra FOTO con ANOÉL! Ya perdió!!!,2022-03-05,63862,3872,369,Mar
12,Los VIOLINES ARGENTINOS eran 6 ALIADES (HOMBRES DÉBILES),2022-03-05,96550,8184,867,Mar
13,Caín Velásquez está en GRANDES PROBLEMAS! #FreeCain???,2022-03-04,107913,6781,744,Mar
14,Colby Covington mete a la FAMILIA de MASVIDAL en el BEEF!,2022-03-04,90607,6588,820,Mar
15,Libertad de EXPRESIÓN!,2022-03-03,34383,3478,484,Mar
16,BATMAN vs BANE es PUTIN vs OCCIDENTE,2022-03-03,61602,6319,829,Mar
17,El HULK IRANÍ es HUMILLADO por MARTIN FORD!,2022-03-02,779725,20227,1622,Mar
18,Dmitry Bivol el HOMBRE para TUMBAR al CANELO!,2022-03-02,117281,7156,933,Mar
19,DEFENSA de CABEZA!!! 😎,2022-03-01,137942,8613,228,Mar
20,GANAMOS con estudios de GÉNERO e IGUALDAD!!!,2022-03-01,54553,4602,455,Mar
21,CONOR McGREGOR es MUUUUUY PEQUEÑO en 185lbs!!! No Sueñen!,2022-03-01,159231,8237,790,Mar
22,RIP Bostin Loyd. El CAMBIO FÍSICO más BRUTAL de YT!,2022-02-28,98002,4698,300,Feb
23,La DECEPCIÓN del CANELO!,2022-02-28,504761,28381,865,Feb
24,El KHABIB 2.0 APLASTA a GREEN!!!,2022-02-27,116725,7248,804,Feb
25,La DESPEDIDA de un SOLDADO!,2022-02-27,206506,16358,1137,Feb
26,Todos ABANDONAN a JON JONES!!!,2022-02-26,118182,7216,648,Feb
27,RIP Bostin Loyd!,2022-02-25,168321,9090,500,Feb
28,Colby es SUPER FAVORITO ante MASVIDAL en las APUESTAS!,2022-02-25,111463,6165,582,Feb
29,GREEN tiene una gran MENTALIDAD y todos TEMEN a MAKHACHEV!!!,2022-02-24,89810,5245,409,Feb
30,Este abdomen es REAL?,2022-02-23,386394,19833,700,Feb
31,Ganó su categoría SIN PIERNAS!!!,2022-02-23,61254,4104,171,Feb
32,La CHICA ANIMÉ en la VIDA REAL!!! Yuan Herong,2022-02-23,118349,7823,616,Feb
33,"ATAQUE a CHIMAEV, USMAN y otros, por esta BOLSITA!",2022-02-22,139334,7057,489,Feb
34,5 COSTILLAS en un K0!,2022-02-21,191079,11362,325,Feb
35,El PATRIARCADO al MANDO!,2022-02-21,445637,25085,916,Feb
36,Adiós Johnny Walker y PERDONA por el GAFE!!!,2022-02-21,177673,7243,562,Feb
37,El KHABIB 2.0 va a DESTRUIR a GREEN!!!,2022-02-20,102230,5735,687,Feb
38,Mike Tyson compró una BAÑERA de 2 MILLONES!,2022-02-20,325671,14396,250,Feb
39,DON KING destruyó a MIKE TYSON??? 400 MILLONES DESPERDICIADOS!!!,2022-02-20,70741,4771,339,Feb
40,El PEOR MAESTRO del MUNDO!!!,2022-02-19,82835,3889,204,Feb
41,El BRUTAL CAMBIO FÍSICO de DROSS,2022-02-19,194333,17938,887,Feb
42,Adama Traoré NO PESA 72 KG ni en BROMA!,2022-02-18,446876,22731,764,Feb
43,Michael Chandler vs Tony Ferguson para UFC 274! LA PELEA QUE NO QUERÍA!!!,2022-02-18,120315,6274,864,Feb
44,La PELEA más TONTA y SALVAJE en HISTORIA de las MMA!!!  Don Frye vs Yoshihiro Takayama (2002),2022-02-18,73464,5067,516,Feb
45,"Khamzat Chimaev dice que ""APLASTA a ISRAEL ADESANYA""",2022-02-17,132405,7667,1034,Feb
46,Así HUMILLÓ Jorge Masvidal a Ben Askren,2022-02-17,93618,6095,339,Feb
47,Las LOCURAS de IBRA!!!,2022-02-16,302756,21348,529,Feb
48,ADESANYA firma un CONTRATAZO como legado de CONOR McGREGOR!!!,2022-02-16,137494,7041,427,Feb
49,El RESPETO de GGG al CANELO!!!,2022-02-15,465327,37161,1127,Feb
50,La VENGANZA de Zlatan Ibrahimović,2022-02-15,130102,8756,468,Feb
51,Un GORILA para ISRAEL ADESANYA!!!,2022-02-15,125837,6506,423,Feb
52,El chico SYNTHOL CONTRAATACA!,2022-02-14,52658,3003,222,Feb
53,Brutal K0 de TAI TUIVASA para DESTRUIR a Derrick Lewis!!!,2022-02-14,146304,7722,570,Feb
54,Si fuera Khamzat Chimaev lo SOMETE a IZZY???,2022-02-13,103410,6675,352,Feb
55,Izzy ROBÓ a Robert Whittaker???,2022-02-13,173267,9360,1172,Feb
56,Israel GANA pero TAI se roba el SHOW!!!,2022-02-13,113119,5466,642,Feb
57,JOE ROGAN a los 52!!!,2022-02-12,207811,12700,249,Feb
58,Así HUMILLÓ Israel Adesanya a Derek Brunson por decirle FLACO!!!,2022-02-12,231860,8985,384,Feb
59,Israel Adesanya defiende a JOE ROGAN brutalmente!,2022-02-11,60155,3792,251,Feb
60,Los HOMBRES LLORAN y usan VESTIDO como BAD BUNNY!!!,2022-02-11,111254,10118,1026,Feb
61,Israel Adesanya está ABURRIDO!!! PELIGRO!,2022-02-10,136110,7551,789,Feb
62,En 2022 los hombres LLORAN y usan VESTIDO!!!,2022-02-09,405883,23522,1284,Feb
63,Joe Rogan VS CULTURA de la CANCELACIÓN,2022-02-09,94817,6977,615,Feb
64,FRANCIS NAGANNOU se despide de la UFC!!!,2022-02-08,172210,8132,828,Feb
65,La GINECOMASTIA de Israel Adesanya!!!,2022-02-07,376615,12672,289,Feb
66,Sigue la GINECOMASTIA de Israel Adesanya!!!,2022-02-07,133996,6288,487,Feb
